1,1000.000,0.000,100.000,1001;CODE 100,L
2,1000.000,150.000,100.000,1001;CODE 100,
3,980.000,0.000,100.000,1011;CODE 101,L
4,980.000,150.000,100.000,1011;CODE 101,
5,960.000,0.000,100.000,1021;CODE 102,L
6,960.000,150.000,100.000,1021;CODE 102,
7,940.000,0.000,100.000,1031;CODE 103,L
8,940.000,150.000,100.000,1031;CODE 103,
9,920.000,0.000,100.000,1041;CODE 104,L
10,920.000,150.000,100.000,1041;CODE 104,
11,900.000,0.000,100.000,1051;CODE 105,L
12,900.000,150.000,100.000,1051;CODE 105,
13,880.000,0.000,100.000,1061;CODE 106,L
14,880.000,150.000,100.000,1061;CODE 106,
15,860.000,0.000,100.000,1071;CODE 107,L
16,860.000,150.000,100.000,1071;CODE 107,
17,840.000,0.000,100.000,1081;CODE 108,L
18,840.000,150.000,100.000,1081;CODE 108,
19,820.000,0.000,100.000,1091;CODE 109,L
20,820.000,150.000,100.000,1091;CODE 109,
21,800.000,0.000,100.000,1101;CODE 110,L
22,800.000,150.000,100.000,1101;CODE 110,
23,780.000,0.000,100.000,1111;CODE 111,L
24,780.000,150.000,100.000,1111;CODE 111,
25,760.000,0.000,100.000,1121;CODE 112,L
26,760.000,150.000,100.000,1121;CODE 112,
27,740.000,0.000,100.000,1131;CODE 113,L
28,740.000,150.000,100.000,1131;CODE 113,
29,720.000,0.000,100.000,1141;CODE 114,L
30,720.000,150.000,100.000,1141;CODE 114,
31,700.000,0.000,100.000,1151;CODE 115,L
32,700.000,150.000,100.000,1151;CODE 115,
33,680.000,0.000,100.000,1161;CODE 116,L
34,680.000,150.000,100.000,1161;CODE 116,
35,660.000,0.000,100.000,1171;CODE 117,L
36,660.000,150.000,100.000,1171;CODE 117,
37,640.000,0.000,100.000,1181;CODE 118,L
38,640.000,150.000,100.000,1181;CODE 118,
39,620.000,0.000,100.000,1191;CODE 119,L
40,620.000,150.000,100.000,1191;CODE 119,
41,600.000,0.000,100.000,1201;CODE 120,L
42,600.000,150.000,100.000,1201;CODE 120,
43,580.000,0.000,100.000,1211;CODE 121,L
44,580.000,150.000,100.000,1211;CODE 121,
45,560.000,0.000,100.000,1221;CODE 122,L
46,560.000,150.000,100.000,1221;CODE 122,
47,540.000,0.000,100.000,1231;CODE 123,L
48,540.000,150.000,100.000,1231;CODE 123,
49,520.000,0.000,100.000,1241;CODE 124,L
50,520.000,150.000,100.000,1241;CODE 124,
51,500.000,0.000,100.000,1251;CODE 125,L
52,500.000,150.000,100.000,1251;CODE 125,
53,480.000,0.000,100.000,1261;CODE 126,L
54,480.000,150.000,100.000,1261;CODE 126,
55,460.000,0.000,100.000,1271;CODE 127,L
56,460.000,150.000,100.000,1271;CODE 127,
57,440.000,0.000,100.000,1281;CODE 128,L
58,440.000,150.000,100.000,1281;CODE 128,
59,420.000,0.000,100.000,1291;CODE 129,L
60,420.000,150.000,100.000,1291;CODE 129,
61,400.000,0.000,100.000,1301;CODE 130,L
62,400.000,150.000,100.000,1301;CODE 130,
63,380.000,0.000,100.000,1311;CODE 131,L
64,380.000,150.000,100.000,1311;CODE 131,
65,360.000,0.000,100.000,1321;CODE 132,L
66,360.000,150.000,100.000,1321;CODE 132,
67,340.000,0.000,100.000,1331;CODE 133,L
68,340.000,150.000,100.000,1331;CODE 133,
69,320.000,0.000,100.000,1341;CODE 134,L
70,320.000,150.000,100.000,1341;CODE 134,
71,300.000,0.000,100.000,1351;CODE 135,L
72,300.000,150.000,100.000,1351;CODE 135,
73,280.000,0.000,100.000,1361;CODE 136,L
74,280.000,150.000,100.000,1361;CODE 136,
75,260.000,0.000,100.000,1371;CODE 137,L
76,260.000,150.000,100.000,1371;CODE 137,
77,240.000,0.000,100.000,1381;CODE 138,L
78,240.000,150.000,100.000,1381;CODE 138,
79,220.000,0.000,100.000,1391;CODE 139,L
80,220.000,150.000,100.000,1391;CODE 139,
81,200.000,0.000,100.000,1401;CODE 140,L
82,200.000,150.000,100.000,1401;CODE 140,
83,180.000,0.000,100.000,1411;CODE 141,L
84,180.000,150.000,100.000,1411;CODE 141,
85,160.000,0.000,100.000,1421;CODE 142,L
86,160.000,150.000,100.000,1421;CODE 142,
87,140.000,0.000,100.000,1431;CODE 143,L
88,140.000,150.000,100.000,1431;CODE 143,
89,120.000,0.000,100.000,1441;CODE 144,L
90,120.000,150.000,100.000,1441;CODE 144,
91,100.000,0.000,100.000,1451;CODE 145,L
92,100.000,150.000,100.000,1451;CODE 145,
93,80.000,0.000,100.000,1461;CODE 146,L
94,80.000,150.000,100.000,1461;CODE 146,
95,60.000,0.000,100.000,1471;CODE 147,L
96,60.000,150.000,100.000,1471;CODE 147,
97,40.000,0.000,100.000,1481;CODE 148,L
98,40.000,150.000,100.000,1481;CODE 148,
99,20.000,0.000,100.000,1491;CODE 149,L
100,20.000,150.000,100.000,1491;CODE 149,
101,0.000,0.000,100.000,1501;CODE 150,L
102,0.000,150.000,100.000,1501;CODE 150,
103,1000.000,350.000,100.000,1511;CODE 151,L
104,1000.000,500.000,100.000,1511;CODE 151,
105,980.000,350.000,100.000,1521;CODE 152,L
106,980.000,500.000,100.000,1521;CODE 152,
107,960.000,350.000,100.000,1531;CODE 153,L
108,960.000,500.000,100.000,1531;CODE 153,
109,940.000,350.000,100.000,1541;CODE 154,L
110,940.000,500.000,100.000,1541;CODE 154,
111,920.000,350.000,100.000,1551;CODE 155,L
112,920.000,500.000,100.000,1551;CODE 155,
113,900.000,350.000,100.000,1561;CODE 156,L
114,900.000,500.000,100.000,1561;CODE 156,
115,880.000,350.000,100.000,1571;CODE 157,L
116,880.000,500.000,100.000,1571;CODE 157,
117,860.000,350.000,100.000,1581;CODE 158,L
118,860.000,500.000,100.000,1581;CODE 158,
119,840.000,350.000,100.000,1591;CODE 159,L
120,840.000,500.000,100.000,1591;CODE 159,
121,820.000,350.000,100.000,1601;CODE 160,L
122,820.000,500.000,100.000,1601;CODE 160,
123,800.000,350.000,100.000,1611;CODE 161,L
124,800.000,500.000,100.000,1611;CODE 161,
125,780.000,350.000,100.000,1621;CODE 162,L
126,780.000,500.000,100.000,1621;CODE 162,
127,760.000,350.000,100.000,1631;CODE 163,L
128,760.000,500.000,100.000,1631;CODE 163,
129,740.000,350.000,100.000,1641;CODE 164,L
130,740.000,500.000,100.000,1641;CODE 164,
131,720.000,350.000,100.000,1651;CODE 165,L
132,720.000,500.000,100.000,1651;CODE 165,
133,700.000,350.000,100.000,1661;CODE 166,L
134,700.000,500.000,100.000,1661;CODE 166,
135,680.000,350.000,100.000,1671;CODE 167,L
136,680.000,500.000,100.000,1671;CODE 167,
137,660.000,350.000,100.000,1681;CODE 168,L
138,660.000,500.000,100.000,1681;CODE 168,
139,640.000,350.000,100.000,1691;CODE 169,L
140,640.000,500.000,100.000,1691;CODE 169,
141,620.000,350.000,100.000,1701;CODE 170,L
142,620.000,500.000,100.000,1701;CODE 170,
143,600.000,350.000,100.000,1711;CODE 171,L
144,600.000,500.000,100.000,1711;CODE 171,
145,580.000,350.000,100.000,1721;CODE 172,L
146,580.000,500.000,100.000,1721;CODE 172,
147,560.000,350.000,100.000,1731;CODE 173,L
148,560.000,500.000,100.000,1731;CODE 173,
149,540.000,350.000,100.000,1741;CODE 174,L
150,540.000,500.000,100.000,1741;CODE 174,
151,520.000,350.000,100.000,1751;CODE 175,L
152,520.000,500.000,100.000,1751;CODE 175,
153,500.000,350.000,100.000,1761;CODE 176,L
154,500.000,500.000,100.000,1761;CODE 176,
155,480.000,350.000,100.000,1771;CODE 177,L
156,480.000,500.000,100.000,1771;CODE 177,
